선행 ARS BSW -> ASW Interface,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ver,ID,NO.,Component,ASW_RTE,Task,Return Type,Element Name,1st Parameter,2nd Parameter,3rd Parameter,Return,Read Data Type,Data Range,Unit,Init,Description,Note,Result
V1.01,,11,BSW → ASW,"TBD
(현재 함수 사용 현황 확인)",,uint8,ShrHWIA_BswCan_GetState_Timeout(uint8 msg_index),"#define BSWCAN_MSG_RX_INDEX_MVPC_ARS_01_1ms		(0U) //Rx // 0x20
#define BSWCAN_MSG_RX_INDEX_ROUTING_01_10ms		(1U) //Rx // 0x27
#define BSWCAN_MSG_RX_INDEX_ROUTING_01_20ms		(2U) //Rx // 0x26
#define BSWCAN_MSG_RX_INDEX_ROUTING_01_200ms	(3U) //Rx // 0x25",,,,uint8,,,,"■ 각 메시지 별 Timeout 상태를 읽어온다.
CAN Timeout Status
- Rx successful == 1
- Rx unsuccessful == 0","V1.01 업데이트: 새로운 메시지 인덱스 적용",구현 완료
V1.01,,12,BSW → ASW,"TBD
(현재 함수 사용 현황 확인)",,uint8,ShrHWIA_BswCan_GetState_Busoff(uint8 can_ch),"#define BSWCAN_CAN_CH0			(0U)
#define BSWCAN_CAN_CH1			(1U)",,,,uint8,,,,"■ CANFD Bus Off의 현재 상태를 리턴한다.
- Bus Off Error == 1
- Bus Off Not Error == 0","V1.01 업데이트: CAN CH1 추가",구현 완료
V0.00,,13,BSW → ASW,UInt32 Rte_IRead_SWC_AswMotPosSenIndexInt_ExtIn_GPT_PulseCount(void),,uint32,ShrHWIA_BswGpt_GetEncPulseCnt(uint8 enc_ch),"#define BSWGPT_ENC_CH_SENS1	   (0U)",,,,uint8,,,,,,
V0.00,,14,BSW → ASW,TBD,,boolean,ShrHWIA_BswGpt_GetEncDirection(uint8 enc_ch),"#define BSWGPT_ENC_CH_SENS1	   (0U)",,,,uint8,,,,,,
V0.08,,15,BSW → ASW,SWC_AswMotPosSenIndexInt();,,void,ShrHWIA_BswGpt_GetEnc_I_ISR(uint8 enc_ch),"#define BSWGPT_ENC_CH_SENS1	   (0U)",,,,uint8,,,,motor cnt reset cbk,,
V1.01,,16,BSW → ASW,"TBD
(시스템 성능 모니터링)",-,float32,ShrHWIA_BswSys_GetCpuLoad(void),,,,CPU 사용률 (0.0~100.0%),float32,"0.0~100.0",%,0.0,"■ 현재 CPU 부하율을 반환한다.
- 0.0~100.0% 범위의 실수값
- 측정 윈도우: 100ms
- 업데이트 주기: 100ms","V1.01 신규 추가: 시스템 성능 모니터링 기능",
V0.12,,17,BSW → ASW,"TBD
(현재 함수 사용 현황 확인)",TBD,"uint32
0.01us/tick",ShrHWIA_BswSys_GetSysTime,,,,타이머 카운트 리턴,,-,us,-,"■ GetSysTime 기능은 타이머 카운트를 리턴한다.
- 타이머 카운트를 [us] 단위로 환산하여 사용하기 위해 타이머 주파수를 함께 제공해야 한다.","■ Use Case (100MHz 타이머 기준: 0.01 단위명 [us])

TCntStrt = GetSysTime();
ARSAsw();		              // 실행시간 측정할 코드
TCntEnd = GetSysTime() - TCntStrt;
ExecT = TimerCntEnd * 0.01 // 60MHz 타이머 기준 예: 0.01 단위명 [us]",
V0.12,,18,BSW → ASW,"TBD
(현재 함수 사용 현황 확인)",TBD,uint32,ShrHWIA_BswSys_GetResetStatus,,,,Reset Reason 외부에서의 상세 내용,,,,,,,
V0.10,,19,BSW → ASW,"TBD
(현재 함수 사용 현황 확인)",TBD,typBswSys_Mcu_Reset;,ShrHWIA_BswSys_GetResetReason(void),,,,"  BSWSYS_MCU_ESR0_RESET        = 0x00U,      /* ESR0 reset     */
  BSWSYS_MCU_ESR1_RESET        = 0x01U,      /* ESR1 reset     */
  BSWSYS_MCU_SMU_RESET         = 0x02U,      /* SMU reset      */
  BSWSYS_MCU_SW_RESET          = 0x03U,      /* Software reset */
  BSWSYS_MCU_STM0_RESET        = 0x04U,      /* STM0 reset     */
  BSWSYS_MCU_STM1_RESET        = 0x05U,      /* STM1 reset     */
  BSWSYS_MCU_STM2_RESET        = 0x06U,      /* STM2 reset     */
  BSWSYS_MCU_STM3_RESET        = 0x07U,      /* STM3 reset     */
  BSWSYS_MCU_STM4_RESET        = 0x08U,      /* STM4 reset     */
  BSWSYS_MCU_STM5_RESET        = 0x09U,      /* STM5 reset     */
  BSWSYS_MCU_POWER_ON_RESET    = 0x0AU,      /* Power On reset */
  BSWSYS_MCU_CB0_RESET         = 0x0BU,      /* CB0 reset      */
  BSWSYS_MCU_CB1_RESET         = 0x0CU,      /* CB1 reset      */
  BSWSYS_MCU_CB3_RESET         = 0x0DU,      /* CB3 reset      */
  BSWSYS_MCU_EVRC_RESET        = 0x0EU,      /* EVRC Regulator Watchdog reset    */
  BSWSYS_MCU_EVR33_RESET       = 0x0FU,      /* EVR33 Regulator Watchdog reset   */
  BSWSYS_MCU_SUPPLY_WDOG_RESET = 0x10U,      /* Supply Watchdog reset            */
  BSWSYS_MCU_STBYR_RESET       = 0x11U,      /* Standby Regulator Watchdog reset */
  BSWSYS_MCU_LBIST_RESET       = 0x12U,      /* Reset from LBIST completion      */
  BSWSYS_MCU_RESET_MULTIPLE    = 0xFEU,      /* Multiple Reset Reasons found     */
  BSWSYS_MCU_RESET_UNDEFINED   = 0xFFU       /* Reset is undefined               */",void,,,,,,
V0.08,,20,BSW → ASW,"	IswHandler_Adc_ISR();
	IswHandler_ENC_A_ISR();
	IswHandler_ICU_ENC_ISR();
	IswHandler_PWM_ISR();
	SWC_AswMotPosSen();
	SWC_CddMotCtrl();
	SWC_AswFltMon_PWMloop();",,void,ShrHWIA_BswAdc_Cbk_ISR(void),,,,,void,,,,,,
V0.08,,21,BSW → ASW,TBD,,void,ShrHWIA_BswPwm_Cbk_ISR(void),,,,,void,,,,,,
V0.08,,22,BSW → ASW,TBD,event,void,ShrHWIA_Mod_FlsReprogram_Cbk(void),,,,,void,,,,■ Mod_FlsReprogram 기능을 호출 시 리프로그램을 위한 준비,,
V0.09,,23,BSW → ASW,void ARS_Top_Init(void),,void,ShrHWIA_IswHandler_Init(void),,,,,void,,,,,,
V0.12,,24,BSW → ASW,"TBD
(ARS_Top_Init 함수에서 필요 - 초기화 순서)",,,ShrHWIA_IswHandler_Init2(void),,,,,,,,,,,
V1.01,,25,BSW → ASW,"TBD
(ARS_Top_Init 함수에서 필요 - 추가 초기화)",,void,ShrHWIA_IswHandler_Init3(void),,,,,void,,,,"■ 3차 초기화 함수 - 시스템 최종 설정
- 고급 기능 활성화
- 진단 시스템 초기화","V1.01 신규 추가: 3단계 초기화 지원",
V0.09,,26,BSW → ASW,void DAC_OUT(void),,void,ShrHWIA_IswHandler_Idle(void),,,,,void,,,,,,
V0.09,,27,BSW → ASW,"	SWC_AswSeaPosSen();
	SWC_AswCanRx();
	SWC_AswCanTx();	",,void,ShrHWIA_IswHandler_1ms(void),,,,,void,,,,,,
V0.09,,28,BSW → ASW,"	SWC_AswMotPosSenInit();	
	SWC_AswARSMdMng();
	SWC_AswSeaCtrl();
	Dummy_Trigger();",,void,ShrHWIA_IswHandler_10ms(void),,,,,void,,,,,,
V0.09,,29,BSW → ASW,TBD,,void,ShrHWIA_IswHandler_100ms(void),,,,,void,,,,,,
V0.09,,30,BSW → ASW,TBD,,void,ShrHWIA_IswHandler_2ms(void),,,,,void,,,,,,
V0.09,,31,BSW → ASW,TBD,,void,ShrHWIA_IswHandler_5ms(void),,,,,void,,,,,,
V0.09,,32,BSW → ASW,TBD,,void,ShrHWIA_IswHandler_20ms(void),,,,,void,,,,,,
V0.09,,33,BSW → ASW,TBD,,void,ShrHWIA_IswHandler_50ms(void),,,,,void,,,,,,
V1.00,,34,BSW → ASW,TBD,,uint8,ShrHWIA_BswDio_GetPin(uint8 ch),"#define BSWDIO_CH_TP158           	(0U)
#define BSWDIO_CH_TP29         	  	(1U)
#define BSWDIO_CH_TP31            (2U)
#define BSWDIO_CH_TP48           	(3U)
#define BSWDIO_CH_TP52           	(4U)
#define BSWDIO_CH_TP2           	(5U)
#define BSWDIO_CH_TP4           	(6U)
#define BSWDIO_CH_TP20           	(7U)
#define BSWDIO_CH_TP50           	(8U)
#define BSWDIO_CH_TP51           	(9U)
#define BSWDIO_CH_TP62           	(10U)
#define BSWDIO_CH_TP65           	(11U)
#define BSWDIO_CH_TP76           	(12U)
#define BSWDIO_CH_TP77           	(13U)
#define BSWDIO_CH_TP78           	(14U)
#define BSWDIO_CH_TP98           	(15U)
#define BSWDIO_CH_TP100          	(16U)
#define BSWDIO_CH_TP53           	(17U)",,,"#define BSWDIO_FLAG_OFF   (0U)
#define BSWDIO_FLAG_ON    (1U)",uint8,,,,,,
V1.00,,35,BSW → ASW,TBD,,uint8,ShrHWIA_Current_Offset_Status_Read,,,,"#define BSWDIO_FLAG_OFF   (0U)
#define BSWDIO_FLAG_ON    (1U)",uint8,,,,"■ 상전류 Offset 검출 후 
- 정상 범위내 있을 경우 1을 리턴
- 범위를 벗어날 경우 0을 리턴","약0.40A 정도의 Offset이 검출될 경우 비정상으로 판단",약0.40A 정도의 Offset이 검출될 경우 비정상으로 판단
